#module	rmiName	direction	class	method	handlerAddr	handlerOldName	renamed
CryGame.dll	RMI:CPlayer:SvRequestHitAssistance	C2S	CPlayer	SvRequestHitAssistance	10f04090	RMI_CPlayer_SvRequestHitAssistance	no
CryGame.dll	RMI:CPlayer:ClEMP	S2C	CPlayer	ClEMP	10f04140	RMI_CPlayer_ClEMP	no
CryGame.dll	RMI:CPlayer:ClJump	S2C	CPlayer	ClJump	10f041f0	RMI_CPlayer_ClJump	no
CryGame.dll	RMI:CPlayer:SvRequestJump	C2S	CPlayer	SvRequestJump	10f042a0	RMI_CPlayer_SvRequestJump	no
CryGame.dll	RMI:CPlayer:SvRequestParachute	C2S	CPlayer	SvRequestParachute	10f04350	RMI_CPlayer_SvRequestParachute	no
CryGame.dll	RMI:CWeapon:SvRequestStartFire	C2S	CWeapon	SvRequestStartFire	1110a040	RMI_CWeapon_SvRequestStartFire	no
CryGame.dll	RMI:CWeapon:SvRequestStopFire	C2S	CWeapon	SvRequestStopFire	1110a0d0	RMI_CWeapon_SvRequestStopFire	no
CryGame.dll	RMI:CWeapon:SvRequestShoot	C2S	CWeapon	SvRequestShoot	11109e70	RMI_CWeapon_SvRequestShoot	no
CryGame.dll	RMI:CWeapon:SvRequestShootEx	C2S	CWeapon	SvRequestShootEx	11109f30	RMI_CWeapon_SvRequestShootEx	no
CryGame.dll	RMI:CWeapon:SvRequestStartMeleeAttack	C2S	CWeapon	SvRequestStartMeleeAttack	1110a160	RMI_CWeapon_SvRequestStartMeleeAttack	no
CryGame.dll	RMI:CWeapon:SvRequestFireMode	C2S	CWeapon	SvRequestFireMode	1110a2c0	RMI_CWeapon_SvRequestFireMode	no
CryGame.dll	RMI:CWeapon:SvRequestReload	C2S	CWeapon	SvRequestReload	1110a370	RMI_CWeapon_SvRequestReload	no
CryGame.dll	RMI:CWeapon:SvRequestCancelReload	C2S	CWeapon	SvRequestCancelReload	1110a400	RMI_CWeapon_SvRequestCancelReload	no
CryGame.dll	RMI:CWeapon:ClLock	S2C	CWeapon	ClLock	1110a490	RMI_CWeapon_ClLock	no
CryGame.dll	RMI:CWeapon:ClUnlock	S2C	CWeapon	ClUnlock	1110a560	RMI_CWeapon_ClUnlock	no
CryGame.dll	RMI:CWeapon:SvRequestLock	C2S	CWeapon	SvRequestLock	1110a6a0	RMI_CWeapon_SvRequestLock	no
CryGame.dll	RMI:CWeapon:SvRequestUnlock	C2S	CWeapon	SvRequestUnlock	1110a770	RMI_CWeapon_SvRequestUnlock	no
CryGame.dll	RMI:CWeapon:SvRequestWeaponRaised	C2S	CWeapon	SvRequestWeaponRaised	1110a8b0	RMI_CWeapon_SvRequestWeaponRaised	no
CryGame.dll	RMI:CWeapon:SvRequestSetZoomState	C2S	CWeapon	SvRequestSetZoomState	1110a800	RMI_CWeapon_SvRequestSetZoomState	no
CryGame.dll	RMI:CWeapon:SvRequestZoom	C2S	CWeapon	SvRequestZoom	1110a210	RMI_CWeapon_SvRequestZoom	no
CryGame.dll	RMI:CWeapon:ClZoom	S2C	CWeapon	ClZoom	1110a5f0	RMI_CWeapon_ClZoom	no
CryAction.dll	RMI:CInventory:SvReq_RemoveAllItems	C2S	CInventory	SvReq_RemoveAllItems	1088a0c0	FUN_1088a0c0	yes
CryAction.dll	RMI:CInventory:SvReq_AddItem	C2S	CInventory	SvReq_AddItem	1088a1c0	FUN_1088a1c0	yes
CryAction.dll	RMI:CInventory:SvReq_RemoveItem	C2S	CInventory	SvReq_RemoveItem	1088a2c0	FUN_1088a2c0	yes
CryAction.dll	RMI:CInventory:Cl_SetAmmoCapacity	S2C	CInventory	Cl_SetAmmoCapacity	1088a780	FUN_1088a780	yes
CryAction.dll	RMI:CInventory:SvReq_SetAmmoCount	C2S	CInventory	SvReq_SetAmmoCount	1088a3c0	FUN_1088a3c0	yes
CryAction.dll	RMI:CInventory:Cl_SetAmmoCount	S2C	CInventory	Cl_SetAmmoCount	1088a5e0	FUN_1088a5e0	yes
CryAction.dll	RMI:CInventory:SvReq_RemoveAllAmmo	C2S	CInventory	SvReq_RemoveAllAmmo	1088a140	FUN_1088a140	yes
CryAction.dll	RMI:CInventory:Cl_RemoveAllAmmo	S2C	CInventory	Cl_RemoveAllAmmo	1088a700	FUN_1088a700	yes
CryAction.dll	RMI:CInventory:SvReq_AddEquipmentPack	C2S	CInventory	SvReq_AddEquipmentPack	1088a4e0	FUN_1088a4e0	yes
CryAction.dll	RMI:CVehicle:SvRequestUse	C2S	CVehicle	SvRequestUse	109dd310	FUN_109dd310	yes
CryAction.dll	RMI:CVehicle:SvRequestChangeSeat	C2S	CVehicle	SvRequestChangeSeat	109dd3d0	FUN_109dd3d0	yes
CryAction.dll	RMI:CVehicle:SvRequestLeave	C2S	CVehicle	SvRequestLeave	109dd4a0	FUN_109dd4a0	yes
CryAction.dll	RMI:CVehicle:ClRequestLeave	S2C	CVehicle	ClRequestLeave	109dd570	FUN_109dd570	yes
CryAction.dll	RMI:CVehicle:ClSetupWeapons	S2C	CVehicle	ClSetupWeapons	109dd720	FUN_109dd720	yes
CryAction.dll	RMI:CVehicle:ClSetAmmo	S2C	CVehicle	ClSetAmmo	109dd640	FUN_109dd640	yes
CryAction.dll	RMI:CVehicle:ClAbandonWarning	S2C	CVehicle	ClAbandonWarning	109dd7e0	FUN_109dd7e0	yes
