#opcode	name	dir	nFuncs	funcAddrs(<=3)
8562	S2C_CMD_GUILD_SWAP_ITEM_NTF	S2C	5	1062c090:FUN_1062c090 | 106b59d0:FUN_106b59d0 | 1113af50:FUN_1113af50
8563	S2C_CMD_GUILD_SORT_ITEM_NTF	S2C	5	1062c100:FUN_1062c100 | 106b5a70:FUN_106b5a70 | 1113afe0:FUN_1113afe0
8564	S2C_CMD_GUILD_GETDEPOT	S2C	5	1062c170:FUN_1062c170 | 106b5b10:FUN_106b5b10 | 1113b060:FUN_1113b060
8565	S2C_CMD_GUILD_GETRANDCOMMODITIES	S2C	5	1062c1e0:FUN_1062c1e0 | 106b5bb0:FUN_106b5bb0 | 1113b0e0:FUN_1113b0e0
8566	S2C_CMD_GUILD_GETQUEST	S2C	5	1062c250:FUN_1062c250 | 106b5c50:FUN_106b5c50 | 1113b160:FUN_1113b160
8567	S2C_CMD_GUILD_QUERYGUILD	S2C	5	1062c2c0:FUN_1062c2c0 | 106b5cf0:FUN_106b5cf0 | 1113b1e0:FUN_1113b1e0
9217	C2S_CMD_TALK_EXEC	C2S	10	10422940:FUN_10422940 | 10428320:FUN_10428320 | 10431bb0:FUN_10431bb0
9218	C2S_CMD_TALK_END	C2S	10	10422940:FUN_10422940 | 10428320:FUN_10428320 | 10431bb0:FUN_10431bb0
9297	S2C_CMD_TALK_ERR	S2C	5	1062d210:FUN_1062d210 | 106b72d0:FUN_106b72d0 | 1113d0a0:FUN_1113d0a0
9298	S2C_CMD_TALK_EXEC	S2C	12	10422940:FUN_10422940 | 10428320:FUN_10428320 | 10431bb0:FUN_10431bb0
10241	C2S_CMD_ACTIVITY_FETCH_AWARD	C2S	10	10422940:FUN_10422940 | 10428320:FUN_10428320 | 10431bb0:FUN_10431bb0
10242	C2S_CMD_ACTIVITY_WILDHUNTAPPLY	C2S	6	10636350:FUN_10636350 | 1065ede0:FUN_1065ede0 | 106c4050:FUN_106c4050
10243	C2S_CMD_ACTIVITY_ADDSECRETQUEST	C2S	5	10636b30:FUN_10636b30 | 106c4b90:FUN_106c4b90 | 1113f770:FUN_1113f770
10244	C2S_CMD_ACTIVITY_RESETWILDHUNTTASKS	C2S	6	1045c7a0:FUN_1045c7a0 | 10636ba0:FUN_10636ba0 | 106c4c30:FUN_106c4c30
10245	C2S_CMD_ACTIVITY_MONOLOPY_DICE	C2S	5	10636430:FUN_10636430 | 106c4190:FUN_106c4190 | 1113f850:FUN_1113f850
10246	C2S_CMD_ACTIVITY_MONOLOPY_FIXEDDICE	C2S	5	106364a0:FUN_106364a0 | 106c4230:FUN_106c4230 | 1113f8c0:FUN_1113f8c0
10247	C2S_CMD_ACTIVITY_MONOLOPY_PAYFORBLOCK	C2S	5	10636510:FUN_10636510 | 106c42d0:FUN_106c42d0 | 1113f930:FUN_1113f930
10248	C2S_CMD_ACTIVITY_WILDHUNT_FETCHTASKCOUNT	C2S	6	106363c0:FUN_106363c0 | 106557a0:FUN_106557a0 | 106c40f0:FUN_106c40f0
10259	S2C_CMD_ACTIVITY_FETCH_AWARD	S2C	5	10636660:FUN_10636660 | 106c44b0:FUN_106c44b0 | 1113fba0:FUN_1113fba0
10260	S2C_CMD_ACTIVITY_AWARD_NTF	S2C	5	106366d0:FUN_106366d0 | 106c4550:FUN_106c4550 | 1113fc20:FUN_1113fc20
10261	S2C_CMD_ACTIVITY_ERR	S2C	5	10636740:FUN_10636740 | 106c45f0:FUN_106c45f0 | 1113fca0:FUN_1113fca0
10262	S2C_CMD_ACTIVITY_AWARD_REFRESH	S2C	5	106367b0:FUN_106367b0 | 106c4690:FUN_106c4690 | 1113fd40:FUN_1113fd40
10263	S2C_CMD_ACTIVITY_ADD_ONLINETIME	S2C	5	10636820:FUN_10636820 | 106c4730:FUN_106c4730 | 1113fdb0:FUN_1113fdb0
